Ordner                                                                                                                                                                                              |         MB |        Bytes
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
flutter\exercises\bibliothek_dashboard                                                                                                                                                              |    1344.29 | 1,409,589,290
flutter\exercises\bibliothek_dashboard\build                                                                                                                                                        |     957.24 | 1,003,738,911
flutter\exercises\bibliothek_dashboard\build\app                                                                                                                                                    |     771.77 |  809,255,978
flutter\exercises\bibliothek_dashboard\build\app\intermediates                                                                                                                                      |     628.54 |  659,067,296
flutter\exercises\bibliothek_dashboard\build\app\intermediates\merged_native_libs                                                                                                                   |     345.33 |  362,106,888
flutter\exercises\bibliothek_dashboard\build\app\intermediates\merged_native_libs\debug                                                                                                             |     345.33 |  362,106,888
flutter\exercises\bibliothek_dashboard\build\app\intermediates\merged_native_libs\debug\mergeDebugNativeLibs                                                                                        |     345.33 |  362,106,888
flutter\exercises\bibliothek_dashboard\build\app\intermediates\merged_native_libs\debug\mergeDebugNativeLibs\out                                                                                    |     345.33 |  362,106,888
flutter\exercises\bibliothek_dashboard\build\app\intermediates\merged_native_libs\debug\mergeDebugNativeLibs\out\lib                                                                                |     345.33 |  362,106,888
flutter\exercises\bibliothek_dashboard\build\app\intermediates\merged_native_libs\debug\mergeDebugNativeLibs\out\lib\x86_64                                                                         |     345.33 |  362,106,888
flutter\exercises\bibliothek_dashboard\windows                                                                                                                                                      |     303.15 |  317,874,276
flutter\exercises\bibliothek_dashboard\windows\flutter                                                                                                                                              |     303.09 |  317,810,345
flutter\exercises\bibliothek_dashboard\windows\flutter\ephemeral                                                                                                                                    |     303.08 |  317,805,285
flutter\exercises\bibliothek_dashboard\build\app\outputs                                                                                                                                            |     142.78 |  149,711,139
flutter\exercises\bibliothek_dashboard\build\windows                                                                                                                                                |     141.78 |  148,663,763
flutter\exercises\bibliothek_dashboard\build\windows\x64                                                                                                                                            |     141.78 |  148,663,763
flutter\exercises\bibliothek_dashboard\build\app\intermediates\incremental                                                                                                                          |     115.39 |  120,991,139
flutter\exercises\bibliothek_dashboard\build\app\intermediates\incremental\debug-mergeJavaRes                                                                                                       |     115.14 |  120,731,907
flutter\exercises\bibliothek_dashboard\build\app\intermediates\incremental\debug-mergeJavaRes\zip-cache                                                                                             |     115.13 |  120,724,820
flutter\exercises\bibliothek_dashboard\build\windows\x64\runner                                                                                                                                     |     103.20 |  108,213,495
flutter\exercises\bibliothek_dashboard\build\windows\x64\runner\Debug                                                                                                                               |      95.90 |  100,561,285
flutter\exercises\bibliothek_dashboard\.dart_tool                                                                                                                                                   |      82.63 |   86,643,604
flutter\exercises\bibliothek_dashboard\.dart_tool\flutter_build                                                                                                                                     |      80.99 |   84,922,757
flutter\exercises\bibliothek_dashboard\build\app\outputs\apk                                                                                                                                        |      71.37 |   74,837,744
flutter\exercises\bibliothek_dashboard\build\app\outputs\apk\debug                                                                                                                                  |      71.37 |   74,837,744
flutter\exercises\bibliothek_dashboard\build\app\outputs\flutter-apk                                                                                                                                |      71.37 |   74,837,368
flutter\exercises\bibliothek_dashboard\build\app\intermediates\flutter                                                                                                                              |      52.77 |   55,328,997
flutter\exercises\bibliothek_dashboard\build\app\intermediates\flutter\debug                                                                                                                        |      52.77 |   55,328,997
flutter\exercises\bibliothek_dashboard\build\app\intermediates\assets                                                                                                                               |      52.70 |   55,255,679
flutter\exercises\bibliothek_dashboard\build\app\intermediates\assets\debug                                                                                                                         |      52.70 |   55,255,679
flutter\exercises\bibliothek_dashboard\build\app\intermediates\assets\debug\mergeDebugAssets                                                                                                        |      52.70 |   55,255,679
flutter\exercises\bibliothek_dashboard\build\app\intermediates\assets\debug\mergeDebugAssets\flutter_assets                                                                                         |      52.70 |   55,255,679
flutter\exercises\bibliothek_dashboard\build\app\intermediates\flutter\debug\flutter_assets                                                                                                         |      52.70 |   55,255,679
flutter\exercises\bibliothek_dashboard\build\windows\x64\runner\Debug\data                                                                                                                          |      44.25 |   46,402,949
flutter\exercises\bibliothek_dashboard\build\windows\x64\runner\Debug\data\flutter_assets                                                                                                           |      43.43 |   45,540,645
flutter\exercises\bibliothek_dashboard\.dart_tool\flutter_build\71a3927f0490cc1cb8cbd358b3e3d414                                                                                                    |      40.52 |   42,488,019
flutter\exercises\bibliothek_dashboard\.dart_tool\flutter_build\8cc302aea1f10f8a776f5f1f252094d5                                                                                                    |      40.47 |   42,434,738
flutter\exercises\bibliothek_dashboard\build\windows\x64\flutter                                                                                                                                    |      38.20 |   40,054,295
flutter\exercises\bibliothek_dashboard\build\app\intermediates\stripped_native_libs                                                                                                                 |      36.58 |   38,359,184
flutter\exercises\bibliothek_dashboard\build\app\intermediates\stripped_native_libs\debug                                                                                                           |      36.58 |   38,359,184
flutter\exercises\bibliothek_dashboard\build\app\intermediates\stripped_native_libs\debug\stripDebugDebugSymbols                                                                                    |      36.58 |   38,359,184
flutter\exercises\bibliothek_dashboard\build\app\intermediates\stripped_native_libs\debug\stripDebugDebugSymbols\out                                                                                |      36.58 |   38,359,184
